id,keyword_en,slug,intent,cluster,priority,internal_links,status,publish_date,notes
31,gomoku vs othello difference,gomoku-vs-othello-difference,comparison,comparisons,3,gomoku-vs-go-difference;gomoku-vs-connect-four;gomoku-board-setup-and-basic-rules,planned,,Reversi contrast; flipping vs placing.
32,gomoku vs pente difference,gomoku-vs-pente-difference,comparison,comparisons,2,gomoku-vs-renju;gomoku-vs-connect-four;what-is-gomoku-and-how-do-you-win,planned,,Pente capture rule difference.
33,gomoku freestyle vs standard rules,gomoku-freestyle-vs-standard-rules,informational,comparisons,2,gomoku-vs-renju;gomoku-board-setup-and-basic-rules;gomoku-vs-pente-difference,planned,,Free gomoku vs renju restrictions.
34,gomoku vs gomoku pro app comparison,gomoku-vs-gomoku-pro-app-comparison,comparison,comparisons,3,trygomoku-features;play-gomoku-online-free-no-download;beat-gomoku-ai,planned,,Browser vs app; why free no-download wins.
35,best online gomoku game free compared,best-online-gomoku-game-free-compared,comparison,comparisons,2,play-gomoku-online-free-no-download;trygomoku-features;gomoku-vs-gomoku-pro-app-comparison,planned,,Roundup of free sites; position trygomoku.
36,renju forbidden moves explained simply,renju-forbidden-moves-explained-simply,informational,rules-variants,2,gomoku-vs-renju;gomoku-freestyle-vs-standard-rules;gomoku-board-setup-and-basic-rules,planned,,"Triple-three, four-four, overline bans."
37,gomoku swap rule balanced opening,gomoku-swap-rule-balanced-opening,informational,rules-variants,3,gomoku-vs-renju;top-10-gomoku-openings;gomoku-freestyle-vs-standard-rules,planned,,Swap2 / balanced opening to fix first-move edge.
38,gomoku standard board size 15x15,gomoku-standard-board-size-15x15,informational,rules-variants,3,gomoku-board-setup-and-basic-rules;gomoku-vs-renju;what-is-gomoku-and-how-do-you-win,planned,,Why 15x15; other sizes.
39,gomoku variants you should try,gomoku-variants-you-should-try,informational,rules-variants,3,gomoku-freestyle-vs-standard-rules;gomoku-vs-pente-difference;gomoku-vs-renju,planned,,"Freestyle, renju, pente, swap; which to learn."
40,gomoku tournament rules and etiquette,gomoku-tournament-rules-and-etiquette,informational,rules-variants,3,gomoku-vs-renju;renju-forbidden-moves-explained-simply;advanced-gomoku-strategy,planned,,"Time, forbidden moves, conduct."
41,gomoku world championship history,gomoku-world-championship-history,informational,rules-variants,3,gomoku-history-journey;renju-forbidden-moves-explained-simply;gomoku-tournament-rules-and-etiquette,planned,,"Renju World Championship, notable players."
42,gomoku printable board pdf,gomoku-printable-board-pdf,transactional,rules-variants,3,gomoku-board-setup-and-basic-rules;gomoku-rules-for-kids-explained;gomoku-family-game-night,planned,,Offer printable board; link to play online too.
43,gomoku for two players at home,gomoku-for-two-players-at-home,informational,audiences,3,gomoku-family-game-night;how-to-play-gomoku-for-absolute-beginners;gomoku-printable-board-pdf,planned,,Offline two-player; physical set vs online.
44,gomoku on mobile vs browser which is better,gomoku-on-mobile-vs-browser-which-is-better,comparison,audiences,3,play-gomoku-online-free-no-download;trygomoku-features;gomoku-vs-gomoku-pro-app-comparison,planned,,Responsive browser play vs native app.
45,gomoku for kids benefits,gomoku-for-kids-benefits,informational,audiences,2,gomoku-rules-for-kids-explained;gomoku-family-game-night;gomoku-for-two-players-at-home,planned,,Cognitive benefits for children; screen-time balance.
46,gomoku brain training cognitive benefits,gomoku-brain-training-cognitive-benefits,informational,audiences,2,how-to-improve-gomoku-game;gomoku-for-kids-benefits;beat-gomoku-ai,planned,,"Planning, pattern recognition, focus."
47,gomoku classroom teaching activity,gomoku-classroom-teaching-activity,informational,audiences,3,gomoku-for-kids-benefits;gomoku-rules-for-kids-explained;gomoku-printable-board-pdf,planned,,Using gomoku in class; lesson plan.
48,gomoku travel game portable,gomoku-travel-game-portable,informational,audiences,3,gomoku-printable-board-pdf;gomoku-for-two-players-at-home;gomoku-family-game-night,planned,,"Pocket sets, magnetic boards for trips."
49,gomoku club how to start one,gomoku-club-how-to-start-one,informational,audiences,3,gomoku-tournament-rules-and-etiquette;gomoku-world-championship-history;gomoku-for-kids-benefits,planned,,"Starting a local club; meetings, ladder."
50,gomoku winning formula step by step,gomoku-winning-formula-step-by-step,informational,tips-misc,1,advanced-gomoku-strategy;gomoku-double-threat-fork-strategy;how-to-improve-gomoku-game,planned,,Repeatable winning process; synthesize strategy.
51,gomoku training plan 30 days,gomoku-training-plan-30-days,informational,tips-misc,2,how-to-improve-gomoku-game;best-way-to-practice-gomoku-against-computer;gomoku-reading-ahead-how-many-moves,planned,,30-day ladder from beginner to beating hard AI.
52,gomoku psychology reading opponents,gomoku-psychology-reading-opponents,informational,tips-misc,3,beat-gomoku-ai;gomoku-defense-vs-offense-when-to-switch;gomoku-training-plan-30-days,planned,,"Tells, patience, unpredictability vs humans."
